stimulus_path,origin_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/The Band CAMINO - Daphne Blue (Official Lyric Video).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Olivia Rodrigo - good 4 u (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/IDK - Digital [lyrics].wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/DON BROCO - T-Shirt Song (Lyric Video).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Imagine Dragons - Believer (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Dua Lipa - Levitating (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/6LACK - PRBLMS [Lyric Video].wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/grandson - Blood ⧸⧸ Water (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Avicii - Wake Me Up (Official Lyric Video).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/middle finger lyrics.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/JUNGLE - KEEP MOVING (Lyrics).wav,unfamiliar_pool
"/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Shawn Mendes, Camila Cabello - Señorita (Lyrics) Letra.wav",familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Tones and I - Dance Monkey (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/Nightly - The Movies (Lyric video).wav,unfamiliar_pool
"/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Post Malone, Swae Lee - Sunflower (Lyrics).wav",familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Justin Bieber - Sorry (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/One Direction - What Makes You Beautiful(Lyrics)🎵.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Adele - Hello (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/YUNGBLUD - Parents (Lyrics ⧸ Lyric Video).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/photosynthesis ｜ saba.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/lesser_known_normalized/Barns Courtney - Glitter & Gold (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/code/stimuli/popular_normalized/Mark Ronson - Uptown Funk (Lyrics) ft. Bruno Mars.wav,familiar_pool
