stimulus_path,origin_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/One Direction - What Makes You Beautiful(Lyrics)🎵.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/SZA - Kill Bill (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Avicii - Wake Me Up (Official Lyric Video).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Smino - Wild Irish Roses [Lyric Video].wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Nightly - The Movies (Lyric video).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/middle finger lyrics.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/The Chainsmokers - Closer (Lyrics) ft. Halsey.wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/COIN - Crash My Car (Lyric Video).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Doja Cat - Kiss Me More (Lyrics) ft. SZA.wav,familiar_pool
"/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Lady Gaga, Bradley Cooper - Shallow (Lyrics) (A Star Is Born Soundtrack).wav",familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Royal Blood - Typhoons (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Colorado - KOTA The Friend (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Lewis Capaldi - Someone You Loved (Lyrics).wav,familiar_pool
"/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Ariana Grande - thank u, next (Official Lyric Video).wav",familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Eminem - Lose Yourself (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Welshly Arms - Legendary (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Bakar - Hell N Back (Lyrics) ft. Summer Walker.wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Rina Sawayama - XS (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Oliver Tree - Alien Boy [Official Lyric Video].wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Kenny Mason - Hit (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/IDK - Digital [lyrics].wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/The Weeknd - Blinding Lights (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Miley Cyrus - Flowers (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Kim Petras - Close Your Eyes [LYRICS VIDEO].wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Lewis Capaldi - Someone You Loved (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Dua Lipa - Levitating (Lyrics).wav,familiar_pool
"/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Post Malone, Swae Lee - Sunflower (Lyrics).wav",familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Imagine Dragons - Believer (Lyrics).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/pp/Avicii - Wake Me Up (Official Lyric Video).wav,familiar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/Des Rocs - Let Me Live ⧸ Let Me Die (Lyrics).wav,unfamiliar_pool
/home/robotbci/Documents/Alireza Malekmohammadi/eeg_classification/stimuli/lk/The Midnight - Days of Thunder (lyrics).wav,unfamiliar_pool
